iter	Passed	Remaining
0	7	724
1	13	682
2	20	671
3	27	657
4	34	657
5	41	650
6	49	659
7	56	647
8	64	648
9	70	638
10	78	636
11	84	621
12	92	617
13	99	608
14	106	604
15	113	594
16	120	589
17	126	578
18	134	574
19	141	566
20	148	559
21	156	553
22	163	547
23	171	543
24	178	536
25	186	531
26	193	524
27	202	520
28	209	514
29	217	507
30	224	500
31	231	492
32	238	484
33	247	479
34	255	473
35	262	466
36	270	460
37	277	452
38	287	449
39	293	440
40	300	432
41	307	425
42	314	417
43	321	409
44	328	400
45	334	392
46	341	384
47	348	377
48	355	369
49	362	362
50	369	354
51	376	347
52	383	339
53	390	332
54	397	324
55	404	317
56	411	310
57	418	302
58	425	295
59	431	287
60	438	280
61	446	273
62	453	266
63	460	258
64	468	252
65	474	244
66	482	237
67	488	230
68	496	223
69	503	215
70	510	208
71	517	201
72	525	194
73	531	186
74	538	179
75	545	172
76	552	165
77	558	157
78	565	150
79	572	143
80	580	136
81	588	129
82	595	122
83	602	114
84	609	107
85	617	100
86	623	93
87	631	86
88	639	78
89	646	71
90	652	64
91	660	57
92	666	50
93	673	43
94	680	35
95	687	28
96	694	21
97	702	14
98	708	7
99	715	0
